TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,target,bin_TransactionAmount,bin_CustomerAge
315804380.271825,1411,1,19,1,147206.00000000003,0,7824210.0,21.0,2024212433306.2795,110,2,1,1
192200132.99550003,984,1,1,2,151050.00000000003,1,10094910.0,21.0,1986309616576.3726,38,2,1,2
1273378303.0943997,767,1,13,2,85702.0,3,11945110.0,53.0,310399150092.3839,41,1,1,1
535876642.99765,418,1,33,2,81858.0,3,8076510.0,21.0,427356539611.7494,46,1,1,1
27578569.226525,1887,0,15,2,250994.00000000006,2,23214510.0,21.0,804417195286.8018,201,0,1,0
909193134.8459251,675,1,24,0,89546.0,3,13290710.0,85.0,149025572966.30942,314,1,1,1
148458147.36420003,574,1,25,1,143362.00000000003,1,7992410.0,21.0,594575109087.6829,335,1,1,1
469269528.513625,152,1,19,2,170270.00000000003,0,16570610.000000002,21.0,392189205859.66376,298,1,1,2
206817614.72582504,1671,1,11,1,104922.0,3,23803210.0,21.0,299154013352.6516,127,0,1,1
104237503.640975,1238,0,24,2,227930.00000000003,0,1684910.0,21.0,1844564679037.9158,174,2,1,0
217679471.42720002,213,1,3,0,112610.0,0,21616610.0,21.0,2174143901212.8267,35,1,1,1
1459723580.266125,1701,1,27,0,189490.00000000003,1,14131710.000000006,53.0,2144600242417.5725,289,0,1,2
3232084035.1047254,484,1,20,2,85702.0,3,12617910.0,21.0,88307146189.1874,87,1,2,1
939864072.5823501,1924,0,37,1,174114.00000000003,0,4207910.000000001,21.0,3279011230207.0024,267,0,1,2
459364987.9961,1836,1,39,1,189490.00000000003,1,3787410.0000000005,21.0,1275834308305.241,0,0,1,2
287674012.407925,2084,1,25,1,101078.0,3,12197410.0,21.0,199322163705.7618,354,0,1,1
2928320245.998475,1816,1,23,0,254838.00000000006,0,7571910.0,37.0,1751702114097.465,293,0,2,0
1235785232.951675,153,1,28,2,212554.00000000003,2,18168510.0,21.0,225610243649.58014,69,1,1,2
1209422218.0425751,1330,1,35,0,243306.00000000003,2,10010810.0,21.0,956902665908.8877,68,2,1,0
125261639.83245002,50,1,30,2,147206.00000000003,0,1600809.9999999998,21.0,3145913163214.134,321,1,1,1
888905395.7189502,703,0,5,2,220242.00000000003,0,9758510.0,21.0,2956142351388.688,160,1,1,2
203687927.20170003,653,1,40,0,74170.0,3,9842610.0,21.0,53513838831.3184,100,1,1,1
1120465452.650975,1296,1,21,1,104922.0,3,2778210.0000000005,21.0,192240007128.8786,210,2,1,1
1602658250.485575,1769,1,6,1,285590.00000000006,2,7571910.0,21.0,1034279652859.1973,288,0,1,0
605650264.8590251,2247,1,3,1,101078.0,3,6310410.0,21.0,334029208145.9408,250,0,1,1
1878696690.1133997,1782,1,28,2,74170.0,3,8833410.0,21.0,173005312500.8499,311,0,1,1
2308237097.8362503,2124,1,10,2,101078.0,3,11608710.0,21.0,58763487393.93307,61,0,1,1
81040996.109225,551,0,34,2,158738.00000000003,1,14720410.000000002,21.0,295480144628.39343,8,1,1,2
1566096136.23315,271,0,18,2,266370.00000000006,2,10179010.0,21.0,864808072322.2429,44,1,1,0
1563224187.6816,339,1,29,2,197178.00000000003,1,22205310.0,21.0,1147277674217.299,360,1,1,2
314552505.262175,988,1,41,1,258682.00000000006,0,12197410.0,21.0,3298715117708.2495,22,2,1,0
624097011.3247501,1589,1,36,1,108766.0,3,11945110.0,21.0,203365632476.37604,155,2,1,1
385246623.454175,576,1,29,0,239462.00000000003,2,7571910.0,21.0,991012102522.3014,258,1,1,0
1167005747.127375,1352,1,23,1,97234.0,3,6983210.0,21.0,293032374261.5082,172,2,1,1
222907890.58515003,2254,0,8,1,220242.00000000003,2,4376110.000000001,21.0,782342998506.2289,214,0,1,2
1077202125.1116,427,0,9,1,262526.00000000006,2,5133010.000000001,21.0,1026553462668.6036,86,1,1,0
1423161466.0137,1009,1,16,1,185646.00000000003,1,2357710.0,21.0,1246153432726.3096,46,2,1,2
412640594.253575,1749,1,18,1,89546.0,3,4292010.000000001,21.0,205893077104.75125,313,0,1,1
2093282794.7087002,1778,1,16,0,177958.00000000003,1,12786109.999999998,21.0,1217227249457.6023,360,0,1,2
972007804.447775,847,1,9,1,304810.00000000006,2,19093610.0,37.0,924006048609.2654,279,2,1,0
1287369847.3198998,1992,1,19,2,185646.00000000003,1,19009510.0,21.0,1472120704181.4194,106,0,1,2
2214346472.1125,941,0,30,1,216398.00000000003,1,8749310.0,21.0,1871968198642.5935,98,2,1,2
21245554.471825,1959,1,5,2,193334.00000000003,0,10431309.999999998,21.0,3095815758128.4067,308,0,1,2
741294604.1399251,575,0,26,1,162582.00000000003,1,15645510.000000002,21.0,572122459565.0328,317,1,1,2
1098778559.10145,723,1,16,1,216398.00000000003,2,18925410.0,21.0,667218117001.1321,229,1,1,2
1918535771.3028498,689,1,0,1,97234.0,3,10767710.0,21.0,431884693473.0941,346,1,1,1
431823737.78380007,248,0,2,2,231774.00000000003,1,1348510.0,21.0,811300166209.9601,48,1,1,0
696337563.3522,2019,0,16,3,124142.0,1,8665210.0,21.0,216230812533.07043,139,0,1,1
491729638.98087513,1241,1,1,0,170270.00000000003,1,18504910.0,21.0,851250168825.3723,235,2,1,2
527297617.19622517,86,1,9,2,135674.00000000003,1,11356410.0,21.0,1410860049791.3794,183,1,1,1
91203275.599325,1167,1,4,0,239462.00000000003,2,4628410.0,21.0,1298251547045.0066,351,2,1,0
861290505.8002001,1884,0,17,2,101078.0,3,23550910.0,21.0,1446890521376.273,142,0,1,1
4464444522.545475,1764,1,16,1,78014.0,3,2021310.0,21.0,134108780676.24918,28,0,2,1
854662932.2197002,2346,1,43,0,143362.00000000003,1,4292010.000000001,21.0,1480586094464.7249,174,0,1,1
337012615.729425,478,1,25,1,170270.00000000003,0,5805810.000000001,21.0,3248066632313.8833,312,1,1,2
442906513.6045251,2279,1,24,1,74170.0,3,6478610.0,21.0,301522109458.04694,27,0,1,1
641586441.6066252,1239,1,39,2,193334.00000000003,0,5637610.0,21.0,2330106268079.3765,246,2,1,2
676418022.7574751,1077,1,10,0,147206.00000000003,1,8581110.0,21.0,122283792366.78453,208,2,1,1
1271721409.699275,2369,0,31,3,224086.00000000003,1,6730910.0,21.0,1427932473489.5288,113,0,1,2
3396816058.433375,137,1,11,0,243306.00000000003,2,7319610.0,21.0,1043698921106.4519,283,1,2,0
956985304.3319751,1978,1,10,2,189490.00000000003,0,14299910.0,21.0,1588365451695.2358,195,0,1,2
569640448.404975,1150,1,36,2,131830.00000000003,0,13206610.0,21.0,337227244475.18964,199,2,1,1
4934560408.522275,1741,0,2,2,208710.00000000003,1,2525910.0000000005,21.0,1915344194502.0728,30,0,0,2
90430058.6816,1885,1,23,1,247150.00000000006,0,5805810.000000001,21.0,2184388683336.0745,341,0,1,0
2091625901.3135753,1509,2,42,0,185646.00000000003,0,9674410.0,21.0,2336407174258.8726,69,2,1,2
35384378.110225,1099,0,36,2,224086.00000000003,0,15056810.000000002,21.0,2851434879573.4004,167,2,1,2
1446873451.4905999,2062,1,18,2,93390.0,3,8412910.0,21.0,175207420561.47452,135,0,1,1
2639726236.420925,1631,0,25,2,231774.00000000003,2,2862310.0000000005,21.0,899439817983.2018,109,0,2,0
824212913.6026251,1750,1,18,0,204866.00000000003,1,4628410.0,69.0,648441549376.6704,98,0,1,2
849287233.6488502,565,1,15,1,81858.0,3,11356410.0,21.0,136786721131.88316,260,1,1,1
2371824984.355825,412,1,35,0,112610.0,1,6058110.0,21.0,253082371646.0961,101,1,2,1
1872952793.0102997,1109,0,23,1,197178.00000000003,1,10683610.0,21.0,1706006711959.0566,189,2,1,2
3161463556.6191754,687,0,37,1,104922.0,3,15561410.000000002,21.0,414520130816.1486,263,1,2,1
93375646.9396,1235,1,21,0,220242.00000000003,1,6562710.0,21.0,44495155065.44369,281,2,1,2
543535172.4684502,1546,1,5,1,274058.00000000006,2,11188210.0,21.0,468264846538.971,59,2,1,0
423502450.95495,1602,1,35,1,143362.00000000003,0,14720410.000000002,21.0,1691676410760.5195,135,0,1,1
1411563212.247825,154,1,13,1,116454.0,1,2021310.0,21.0,1970153446885.358,283,1,1,1
362823332.84015006,1401,0,12,2,78014.0,3,14047610.0,21.0,2076717771628.1472,219,2,1,1
306488957.4059,1851,2,13,1,212554.00000000003,0,13795310.0,21.0,261445955928.6091,268,0,1,2
722258740.0226002,360,1,41,1,104922.0,1,12281510.0,21.0,2084559046863.1152,129,1,1,1
478437671.9666501,9,1,19,0,124142.0,1,19766410.0,21.0,1760563662514.2903,12,1,1,1
1130001794.6362498,2156,1,7,2,177958.00000000003,1,4292010.000000001,21.0,2084386419296.5532,264,0,1,2
423355171.54205,1954,1,39,2,227930.00000000003,2,6730910.0,21.0,1359926064960.0078,181,0,1,0
2785753774.311275,437,1,34,1,104922.0,3,1432610.0,21.0,93098667748.23491,316,1,2,1
1854837425.2236001,2136,1,20,2,85702.0,3,2946410.0000000005,21.0,99111861316.79482,179,0,1,1
526634859.83817506,1321,1,35,0,243306.00000000003,2,12365610.0,21.0,1766435212951.3127,258,2,1,0
3848485197.9444504,2089,1,8,0,204866.00000000003,2,6142210.0,21.0,404990203872.3802,72,0,2,2
904075175.24765,530,2,27,0,97234.0,3,15140910.000000002,21.0,218012417546.94263,243,1,1,1
936587105.6453252,700,0,9,2,197178.00000000003,1,14636310.0,21.0,1958496659794.5942,33,1,1,2
787061681.6986,411,0,9,0,300966.00000000006,2,23719110.0,21.0,780968617495.5275,193,1,1,0
1207176206.9958498,254,1,14,2,154894.00000000003,1,8749310.0,21.0,106269265807.3074,7,1,1,2
9205462.46725,1261,1,36,2,181802.00000000003,0,9001610.0,21.0,2687961000387.4937,210,2,1,2
1104890654.7367997,1788,0,2,2,262526.00000000006,0,3955610.0000000005,21.0,2998132900367.8145,354,0,1,0
209800022.83705002,2363,0,28,0,166426.00000000003,1,10263110.0,37.0,1258936725347.5835,79,0,1,2
1500961815.8781247,1181,1,4,2,101078.0,1,5217110.0,21.0,1847258111711.0618,360,2,1,1
426484859.06617504,887,1,14,1,151050.00000000003,1,14047610.0,21.0,1434368383278.7712,219,2,1,2
197244452.88732502,1439,1,15,0,266370.00000000006,2,10179010.0,21.0,365469556999.4416,140,2,1,0
233217449.48815003,2051,0,11,2,177958.00000000003,0,13879410.0,21.0,2473210094411.023,230,0,1,2
1170393173.624075,2369,1,11,2,104922.0,3,7656010.0,21.0,32203187056.69079,308,0,1,1
1221130931.3681247,1492,1,32,2,158738.00000000003,1,5133010.000000001,21.0,923463820996.3475,276,2,1,2
18557705.186400004,2122,1,42,0,216398.00000000003,2,3451010.0000000005,21.0,1230163251080.0654,264,0,1,2
789933630.2501501,1351,0,11,2,270214.00000000006,0,20775610.0,21.0,2468029054240.2466,332,2,1,0
2204810130.127225,1557,1,30,1,220242.00000000003,0,13290710.0,21.0,313280702549.60333,230,2,1,2
3097581111.2738004,1386,1,40,2,101078.0,3,6730910.0,21.0,244256234012.15543,215,2,2,1
140468239.21437502,1584,1,23,2,101078.0,3,9085709.999999998,21.0,67211172285.796555,79,2,1,1
3816967403.583851,1208,1,35,1,224086.00000000003,0,12113310.0,21.0,1226447332051.132,181,2,2,2
459217708.58320004,1153,1,28,1,127986.00000000001,1,8833410.0,21.0,1396469992896.725,62,2,1,1
1113616959.951125,1712,0,35,1,300966.00000000006,2,3366910.0000000005,21.0,1136158688391.5923,331,0,1,0
766000725.6539,2075,1,21,2,181802.00000000003,1,22962210.0,21.0,2068208117866.2356,142,0,1,2
21245554.471825,2055,0,20,1,89546.0,3,21364310.0,21.0,247427712254.24094,269,0,1,1
1404051962.1899247,1457,1,0,0,216398.00000000003,0,6310410.0,21.0,2619370313940.38,189,2,1,2
59501381.9726,1843,1,25,0,193334.00000000003,0,10431309.999999998,21.0,3187230907318.4565,335,0,1,2
1789739924.7217999,1082,1,28,2,70326.0,3,5721710.000000001,21.0,387017018384.60876,40,2,1,3
1238583541.7967749,95,1,35,1,81858.0,3,1516710.0,21.0,221420705399.5677,214,1,1,1
3672523119.382175,2087,1,39,2,266370.00000000006,0,9926710.0,21.0,1507184018758.782,122,0,2,0
863683796.259825,1541,1,6,2,89546.0,3,10094910.0,21.0,58424871782.600845,144,2,1,1
22092411.096000005,1905,1,6,2,116454.0,0,20691510.0,21.0,1204578960446.075,200,0,1,1
3865790528.9602003,1897,1,11,0,308654.00000000006,2,1769010.0000000002,21.0,451013155752.4696,251,0,2,0
836326645.3136501,1155,1,5,0,70326.0,3,24728310.0,21.0,75678775743.03253,310,2,1,3
860627748.4421502,1909,0,28,2,254838.00000000006,2,1432610.0,21.0,236056424600.48282,293,0,1,0
168819526.197625,301,1,20,0,78014.0,3,7740109.999999997,21.0,367200259012.9175,61,1,1,1
3584008192.2292747,1530,1,34,1,297122.00000000006,2,24896510.0,21.0,451980312760.0002,320,2,2,0
1529865400.65975,1310,1,22,0,254838.00000000006,0,11861010.0,21.0,2238330371538.6914,240,2,1,0
978524918.4685999,229,1,30,2,208710.00000000003,2,7740109.999999997,21.0,984016259728.699,354,1,1,2
255530280.54250005,1284,1,41,2,308654.00000000006,2,9506210.0,21.0,1428111740577.881,161,2,1,0
1225843872.5809247,2066,0,0,1,135674.00000000003,1,24644210.0,21.0,617078661610.7291,111,0,1,1
986404367.0587499,1787,1,35,2,78014.0,3,13458910.0,21.0,131942083398.50897,131,0,1,1
1826375678.6806748,1967,1,37,1,235618.00000000003,0,22289410.0,21.0,2856027215478.723,198,0,1,0
1385384296.6048498,293,1,40,0,143362.00000000003,1,20607410.0,21.0,2005668248944.4966,215,1,1,1
305678920.63495004,1565,0,39,2,139518.00000000003,1,14384010.0,21.0,1993973837896.9182,277,2,1,1
343382450.3373501,1302,0,27,2,78014.0,3,6058110.0,21.0,255003406617.57565,340,2,1,1
2957997047.6978254,671,0,22,1,262526.00000000006,0,10851810.0,21.0,2693073432166.4316,137,1,2,0
131668294.29360001,1667,1,5,1,89546.0,3,10263110.0,21.0,135416766469.04228,316,0,1,1
105047540.41192502,946,1,42,2,239462.00000000003,0,8328810.0,21.0,1918940602138.7712,7,2,1,0
513747911.2094251,1789,0,21,2,204866.00000000003,0,14888610.000000002,21.0,2235054874121.883,68,0,1,2
1132468724.802325,49,1,11,1,127986.00000000001,0,23971410.0,21.0,1174696686039.4883,10,1,1,1
223312908.97062504,921,0,40,1,216398.00000000003,2,4460210.000000001,21.0,231782785741.11987,179,2,1,2
275633920.40335006,1429,1,26,1,270214.00000000006,0,10515410.0,21.0,1531845415863.8474,76,2,1,0
853889715.3019751,193,1,22,0,131830.00000000003,1,13879410.0,21.0,24957255608.96717,351,1,1,1
464703866.713725,284,1,3,1,289434.00000000006,2,22541710.0,21.0,1254795876924.037,139,1,1,0
1864116028.2362998,763,0,6,2,204866.00000000003,2,13627110.0,37.0,289916225367.67957,166,1,1,2
1120612732.063875,2186,1,15,1,120298.0,1,3030510.0000000005,21.0,897908301623.4508,142,0,1,1
1037768062.307625,852,1,11,0,85702.0,3,9169810.0,21.0,351006465365.088,75,2,1,1
2864143241.8273,520,1,15,1,120298.0,1,1432610.0,21.0,1510614438350.71,172,1,2,1
438819509.89655006,1495,1,20,1,216398.00000000003,2,8076510.0,21.0,1220898905007.93,71,2,1,2
652411478.4547751,838,1,6,2,293278.00000000006,2,3619210.0000000005,21.0,1182566732535.5498,7,2,1,0
960556830.0948,927,1,10,1,85702.0,3,3030510.0000000005,21.0,199862178144.74915,29,2,1,1
623986551.7650751,535,1,6,2,93390.0,3,1600809.9999999998,21.0,399736128961.90497,74,1,1,1
269632284.32767504,866,1,32,1,101078.0,3,1180310.0,21.0,174342069554.73657,288,2,1,1
5016889600.333375,257,1,12,0,112610.0,1,8917510.0,21.0,537731949862.47406,281,1,0,1
2918231606.2148256,876,1,3,0,74170.0,3,13795310.0,21.0,170497786437.84717,255,2,2,1
872851939.7128502,2269,1,31,2,274058.00000000006,2,3871509.9999999995,21.0,261769079322.4294,87,0,1,0
125813937.63082504,2083,0,30,2,208710.00000000003,1,4544310.0,21.0,160799658275.37775,6,0,1,2
2725590134.141625,1251,1,30,2,158738.00000000003,0,10347210.0,21.0,3201202674340.289,124,2,2,2
1669928122.32765,691,1,0,0,224086.00000000003,0,6899110.0,21.0,2666057217999.5522,342,1,1,2
1106326629.012575,2013,1,17,1,281746.00000000006,2,8412910.0,21.0,1745230793525.3384,97,0,1,0
408443130.9859251,627,0,41,1,74170.0,3,16907010.0,21.0,432090518648.60974,269,1,1,1
742620118.8560251,21,1,19,0,227930.00000000003,0,25148810.0,21.0,1621930447521.802,233,1,1,0
1469885859.7562249,170,1,32,0,227930.00000000003,1,9169810.0,21.0,710516651773.0516,118,1,1,0
3836187366.967301,1580,1,17,2,300966.00000000006,2,4796610.0,21.0,1267309162325.8179,21,2,2,0
2320976767.0521,416,1,23,0,239462.00000000003,2,4376110.000000001,21.0,301800969373.26166,351,1,1,0
40281418.58915,1901,0,30,0,231774.00000000003,1,20607410.0,21.0,274875495337.52386,329,0,1,0
794941130.28875,26,1,20,0,147206.00000000003,0,19766410.0,21.0,1742495310547.517,240,1,1,1
5237808719.683375,1203,1,42,1,304810.00000000006,2,13879410.0,21.0,1255827215975.546,27,2,0,0
833491516.6153251,1653,2,21,1,189490.00000000003,0,11861010.0,21.0,2177773506458.4795,213,0,1,2
1638078949.288025,1605,0,19,1,166426.00000000003,0,8497010.0,21.0,2285818444560.6235,326,0,1,2
1033055121.0948248,165,0,41,2,97234.0,3,2021310.0,21.0,64900618702.58841,241,1,1,1
1798797608.61515,1156,1,17,1,201022.00000000003,1,11104110.0,21.0,1656922940533.3958,63,2,1,2
12151050.72525,550,0,20,1,193334.00000000003,0,11020010.0,21.0,2519781913425.821,228,1,1,2
734151552.6142751,1453,2,7,1,266370.00000000006,2,13879410.0,21.0,1607825890064.1528,163,2,1,0
74965720.32710001,1278,1,40,1,239462.00000000003,2,6310410.0,21.0,611386378262.0593,291,2,1,0
1815624281.538975,1317,1,7,1,204866.00000000003,2,19850510.0,21.0,1645051475571.395,98,2,1,2
1131879607.1507251,1027,1,20,0,74170.0,3,1180310.0,21.0,233933990801.34818,205,2,1,1
41165095.06655,2158,1,1,2,166426.00000000003,0,13543010.0,21.0,1318364871723.3547,237,0,1,2
1155481133.06795,2043,1,40,1,227930.00000000003,1,12702010.0,21.0,1607117674406.4646,139,0,1,0
519086789.92705005,912,1,22,1,231774.00000000003,1,8412910.0,21.0,1798754191855.133,349,2,1,0
1060559551.4539,1483,1,10,0,262526.00000000006,2,5301210.0,21.0,386868735731.2803,217,2,1,0
2947613849.088375,770,1,28,0,120298.0,1,9085709.999999998,21.0,2137976212844.2563,26,1,2,1
1787751652.64765,227,1,15,0,177958.00000000003,1,12029210.0,21.0,1410127489220.4585,322,1,1,2
1918867149.981875,312,1,18,0,208710.00000000003,0,18000310.0,21.0,2089784350512.4966,68,1,1,2
1122748283.550925,358,1,32,0,250994.00000000006,0,13290710.0,21.0,2994695841254.0957,112,1,1,0
1590912717.3068,1314,2,12,0,154894.00000000003,0,12197410.0,21.0,2545288742972.252,322,2,1,2
2556034710.0405006,2210,1,25,0,235618.00000000003,2,6058110.0,21.0,307493252721.9315,60,0,2,0
430277303.94835,528,1,21,0,212554.00000000003,1,14384010.0,21.0,1484279881754.356,351,1,1,2
275707560.1098,908,1,1,0,97234.0,3,16991110.0,21.0,93103094096.09549,83,2,1,1
3277851112.6634,1187,0,19,2,127986.00000000001,1,13543010.0,21.0,1137778731708.5542,69,2,2,1
1330191336.620575,39,1,29,0,243306.00000000003,0,15140910.000000002,21.0,1758494344889.4822,224,1,1,0
484402488.1891001,1876,1,5,1,170270.00000000003,0,3535110.000000001,21.0,1299918067014.5044,49,0,1,2
1787641193.087975,2142,0,25,2,293278.00000000006,2,3114610.0000000005,21.0,680430765364.8796,99,0,1,0
2017249797.7990751,1200,1,8,0,247150.00000000006,2,11020010.0,21.0,1362378261674.7537,248,2,1,0
1683772387.14025,1120,1,41,2,108766.0,1,1264410.0,21.0,1840983763618.7295,90,2,1,1
1863968748.8234,85,1,6,0,224086.00000000003,1,5385310.0,21.0,50924425332.89547,316,1,1,2
1791617737.236275,2283,1,16,1,220242.00000000003,2,10010810.0,21.0,556296052789.6292,219,0,1,2
602667856.7478001,1733,1,36,1,158738.00000000003,0,24560110.0,21.0,2233105067889.3096,277,0,1,2
2141627261.9931252,57,1,4,0,85702.0,3,14804510.000000002,21.0,106275905329.09824,196,1,1,1
191500555.78422502,1991,1,23,0,185646.00000000003,0,7151410.0,21.0,248071745867.95126,303,0,1,2
2320534928.8134003,2153,1,4,0,81858.0,3,5217110.0,21.0,82068208879.73935,328,0,1,1
1928403491.9671502,1962,1,28,0,166426.00000000003,0,13374810.0,21.0,2987465402023.8843,29,0,1,2
2598009342.7170005,330,1,31,1,154894.00000000003,0,10431309.999999998,53.0,3276539114926.884,161,1,2,2
800832306.8047502,1907,0,10,1,177958.00000000003,1,2946410.0000000005,21.0,676657303813.759,35,0,1,2
336828516.46330005,140,1,13,0,197178.00000000003,0,11861010.0,21.0,3307098620556.135,174,1,1,2
19330922.104125,2028,1,38,0,151050.00000000003,0,4123810.0000000005,21.0,3130164217526.29,358,0,1,2
198938166.135675,1665,0,25,0,216398.00000000003,2,13543010.0,21.0,1490861861022.9966,73,0,1,2
2712629545.806425,2111,1,22,1,185646.00000000003,1,843910.0000000001,21.0,733241521689.1256,270,0,2,2
1358321704.4844751,468,2,41,1,208710.00000000003,0,1180310.0,21.0,183630760540.10495,245,1,1,2
121726933.92285001,105,0,13,2,204866.00000000003,2,14299910.0,21.0,341022837765.6129,20,1,1,2
244852523.10725003,774,0,21,2,124142.0,1,12113310.0,21.0,1509437029819.8027,103,1,1,1
652006460.0693002,40,1,19,3,135674.00000000003,0,7151410.0,21.0,2982284361853.108,357,1,1,1
2166996140.86515,230,1,32,1,124142.0,1,10935910.0,21.0,158121717819.74377,253,1,1,1
638824952.6147501,1899,1,26,0,81858.0,3,23719110.0,21.0,289243420492.87573,328,0,1,1
288410409.472425,1315,0,22,2,216398.00000000003,1,15897810.000000002,21.0,1605732227526.1116,115,2,1,2
149710022.37385002,2358,1,21,1,227930.00000000003,2,13122510.0,21.0,255366367142.1409,304,0,1,0
357963112.21445006,328,0,1,1,297122.00000000006,2,4628410.0,21.0,1471259779522.5417,293,1,1,0
125445739.09857501,1984,1,30,1,85702.0,3,6815010.0,21.0,1927625096641.174,58,0,1,1
1811758196.9503503,1873,1,14,2,89546.0,3,6226310.0,21.0,189869697849.553,213,0,1,1
3100268960.5592256,1617,0,41,2,204866.00000000003,0,15561410.000000002,21.0,112751652249.08582,130,0,2,2
270810519.630875,47,1,1,0,197178.00000000003,1,13290710.0,21.0,622359294608.3678,297,1,1,2
2800260796.4819255,1566,1,31,2,220242.00000000003,1,9926710.0,21.0,1367723076716.37,192,2,2,2
1368557623.681025,2301,1,37,1,258682.00000000006,2,12029210.0,21.0,771142125245.102,216,0,1,0
806208005.3756002,1529,1,39,0,70326.0,3,1096210.0,21.0,166921297366.52118,252,2,1,3
837247141.6442751,2316,1,1,2,70326.0,3,5469410.0,21.0,166230787100.2751,312,0,1,3
876276186.0627751,794,0,18,1,151050.00000000003,0,7235510.0,21.0,1883432439601.423,312,1,1,2
687058960.3395001,1164,1,43,2,224086.00000000003,0,1096210.0,21.0,333907483579.7756,1,2,1,2
1256109791.931875,275,1,38,2,70326.0,3,12449710.0,21.0,113176581643.69878,226,1,1,3
1600117680.61305,1579,1,22,0,227930.00000000003,0,18084410.0,21.0,2799294714950.028,112,2,1,0
1152020066.8647997,920,0,32,1,208710.00000000003,1,3703310.0000000005,21.0,51614935599.14159,60,2,1,2
276701696.1468751,1656,1,4,0,89546.0,3,12954310.0,21.0,241883711558.89957,276,0,1,1
85790757.17525001,1432,1,20,0,227930.00000000003,1,13543010.0,21.0,1485295728588.3523,103,2,1,0
174452963.74105003,242,0,39,2,97234.0,3,5133010.000000001,21.0,101668077206.2636,42,1,1,1
1888159392.3922248,1250,1,34,1,304810.00000000006,2,2525910.0000000005,21.0,1547970601119.8384,334,2,1,0
1797361634.339375,1313,1,21,1,166426.00000000003,1,14131710.000000006,21.0,1564956711034.7068,289,2,1,2
47203550.995450005,619,1,13,0,170270.00000000003,1,13122510.0,21.0,2001859376610.4917,122,1,1,2
246325317.23625004,677,0,5,2,304810.00000000006,2,10851810.0,69.0,1159419146398.793,255,1,1,0
1973213253.3419747,1182,1,19,2,166426.00000000003,1,1853110.0,21.0,2133970368030.4573,265,2,1,2
996787565.6682001,1158,0,42,2,101078.0,1,4460210.000000001,21.0,1386324803600.3398,281,2,1,1
360761421.05955005,212,1,10,1,277902.00000000006,2,1516710.0,21.0,1651102293096.7695,140,1,1,0
721964181.1968002,1491,1,37,2,235618.00000000003,2,8244710.0,21.0,937019511319.2881,8,2,1,0
924841572.4665502,952,1,38,0,162582.00000000003,1,20691510.0,21.0,1837799006333.062,92,2,1,2
163922485.71870005,571,1,12,2,108766.0,3,17243410.0,21.0,69557136651.88911,245,1,1,1
658597213.7965752,900,1,3,2,135674.00000000003,0,15140910.000000002,21.0,1159976866229.2227,233,2,1,1
4331046194.311299,2286,0,18,0,208710.00000000003,1,14636310.0,85.0,71639733320.27884,320,0,2,2
1423750583.6653,1947,1,27,1,177958.00000000003,0,10767710.0,21.0,1518916053763.175,5,0,1,2
